Play #,Column1,ODK,Dn,Dist,Yard ln,Hash,Off form,Off str,Backfield,Off play,Play type,Play dir,Result,gn/ls,Eff,Def Front,Def Strengh,Blitz,Coverage,Qtr
8,0,K,,,-40,R,,,,,KO,,,Out of Bounds,,,,,,1
13,0,K,4,14,-38,R,,,,,Punt Rec,,,Fumble,,,,,,1
18,0,K,4,12,7,M,,,,,FG Block,,,Good,,,,,,1
19,0,K,,,-40,L,,,,,KO Rec,,,Return,,,,,,1
44,0,K,4,1,-32,M,,,,,Punt,,,Return,,,,,,2
48,0,K,4,9,-33,M,,,,,Punt Rec,,,Downed,,,,,,2
58,0,K,4,1,-37,L,,,,,Punt Rec,,,Out of Bounds,,,,,,2
67,0,K,4,18,18,R,,,,,FG Block,,,No Good,,,,,,2
69,0,K,,,-40,L,,,,,KO Rec,,,Touchback,,,,,,3
85,0,K,4,11,19,M,,,,,FG,,,No Good,,,,,,3
92,0,K,,,3,M,,,,,Extra Pt. Block,,,Good,,,,,,3
94,0,K,,,-40,L,,,,,KO Rec,,,Return,,,,,,3
110,0,K,4,8,-43,L,,,,,Punt Rec,,,Downed,,,,,,3
125,0,K,,,3,M,,,,,Extra Pt.,,,Good,,,,,,4
127,0,K,,,-45,L,,,,,Onside Kick,,,Recovered,,,,,,4
134,0,K,4,8,46,M,,,,,Fake Punt,,,Penalty,5,,,,,4
142,0,K,,,3,M,,,,,Extra Pt.,,,Good,,,,,,4
144,0,K,,,-25,L,,,,,KO,,,Penalty,,,,,,4
145,0,K,,,-20,L,,,,,KO,,,Return,,,,,,4
151,0,K,,,3,M,,,,,Extra Pt. Block,,,Good,,,,,,4
153,0,K,,,-40,L,,,,,KO Rec,,,Return,,,,,,4
159,0,K,4,10,24,L,,,,,FG,,,Penalty,-5,,,,,4
160,0,K,4,15,20,L,,,,,FG,,,Good,,,,,,4
169,0,K,,,3,M,,,,,Extra Pt. Block,,,No Good,,,,,,4
1,0,K,,,-40,L,,,,,KO,,Return,,,,,,,1
12,0,K,1,,3,M,,,,,2 Pt. Defend,R,No Good,,,,,,,1
13,0,K,,,-40,M,,,,,KO Rec,,Return,,,,,,,1
30,0,K,4,11,18,L,,,,,FG,,Good,,,,,,,2
31,0,K,,,-40,M,,,,,KO,,Return,,,,,,,2
35,0,K,4,4,-26,R,,,,,Punt Rec,,Return,,,,,,,2
47,0,K,,,3,M,,,,,Extra Pt.,,Good,,,,,,,2
